,EF-S 15-85 mm f/3.5-5.6 IS USM,16-82,N,,,,,571,USM,Y,,72,82 x 88,2009,799,
,Cine CN-E 15.5-47 mm T2.8 L S,,N,,,,Cine Lens (APS only),2200,manual,Y,50,,,,,
,,,,,,,,,,,,,,,,
,EF 16-35 mm f/2.8 L III USM,16.48-34/2.9 T3.1-3.2,Y,,,,,789,USM,Y,28,82,89 x 128,2016,2199,cine mod with manual aperture available: newsshooter.com/2017/11/16/technical-farm-cine-modded-canon-lenses/
,EF 16-35 mm f/2.8 L II USM,17-34/2.9 T3.3-3.4,Y,,,,,643,USM,Y,28,82,89 x 112,2007,1599,
,EF 16-35 mm f/2.8 L USM,16.48-34/2.9 T3.5,Y,,,,,600,USM,Y,28,77,84 x 103,2001,1499,IMHO the worst lens Canon ever made (and I have used the 1oo-2oo/5.6 which is normally given this title!)
,EF 16-35 mm f/4 L IS USM,T4.5-4.6,Y,,,,,617,USM,Y,28,77,83 x 113,2014,1199,
,TS-E 17 mm f/4 L,,Y,,,,Tilt/Shift,820,manual,Y,28,none,89 x 107,2009,2149,"All TS lenses are manual focus only, but still only set their aperture through the camera; there is no aperture dial"
,EF 17-4o mm f/4 L USM,17.49-39/4.1 T4.5,Y,,,,,474,USM,Y,28,77,84 x 97,2003,799,Similarly bad reputation than the 16-35/2.8 Mk I
,EF 17-35 mm f/2.8 L USM,18-34/2.9 T3,Y,,,,,534,USM,Y,42,77,84 x 96,1996,,
,Cine Servo CN7x17 17-12o mm T2.95 Servo,,N,,,,Cine Lens (APS-H only),2900,manual,Y,85,114,172 x 263,2022,23850,T2.95 only at 17-91 mm
,EF-S 17-85 mm f/4-5.6 IS USM,18-82/4.1-5.8,N,,,,,469,USM,Y,,67,79 x 92,2004,599,
,EF-S 17-55 mm f/2.8 IS USM,18-52/2.9,N,,,,,652,USM,Y,,77,84 x 111,2006,1149,
,EF-S 18-2oo mm f/3.5-5.6 IS,19-193/3.6-5.9,N,,,,,596,AF,Y,,72,79 x 102,2008,699,
,EF-S 18-135 mm f/3.5-5.6 IS,19-131/3.6-5.9,N,,,,,452,AF,Y,,67,75 x 101,2009,499,
,EF-S 18-135 mm f/3.5-5.6 IS USM,,N,,,,,515,USM,Y,,67,77 x 96,2016,599,
,EF-S 18-135 mm f/3.5-5.6 IS STM,,N,,,,,464,STM,N,,67,77 x 96,2012,549,
,Cine Compact Servo CN-E 18-8o mm T4.4L IS KAS S,,N,,,,Cine Lens (APS only),1200,manual,Y,50,77,182 x 93,2022,4600,
,EF-S 18-55 mm f/3.5-5.6,,N,,,,,190,AF,Y,,58,69 x 80,2003,199,
,EF-S 18-55 mm f/3.5-5.6 USM,,N,,,,,,AF,Y,,58,69 x 80,2003,,
,EF-S 18-55 mm f/3.5-5.6 II,,N,,,,,182,AF,Y,,58,69 x 80,2005,199,
,EF-S 18-55 mm f/3.5-5.6 II USM,,N,,,,,,AF,Y,,58,69 x 80,2005,,
,EF-S 18-55 mm f/3.5-5.6 III,,N,,,,,,AF,Y,,,,,,
,EF-S 18-55 mm f/3.5-5.6 IS,,N,,,,,200,AF,Y,,58,69 x 70,2007,199,
,EF-S 18-55 mm f/3.5-5.6 IS II,,N,,,,,198,AF,Y,,58,69 x 70,2011,249,
,EF-S 18-55 mm f/3.5-5.6 IS STM,,N,,,,,205,STM,N,,58,69 x 75,2013,249,
,EF-S 18-55 mm f/4-5.6 STM,,N,,,,,213,STM,N,,58,67 x 62,2017,,
,EF-S 18-55 mm f/4-5.6 IS STM,,N,,,,,213,STM,N,,58,67 x 62,2017,249,
,,,,,,,,,,,,,,,,
,Cine Sumire CN-E 2o mm T1.5 FP X and L F,,Y,,,,Cine Lens (FF),1100,manual,Y,30,114,118 x 1o2,2019,7410,"full frame EF or PL mount cine lens ● this is the only cine prime NOT to be derived from an existing EF photo lens ● very similiar rendition to the Sigma Art 2o T1.5, but the Sigma shows less field curvature and therefore more separation in the edges"
,EF 2o mm f/2.8 USM,T3.2,Y,,,,,394,USM,Y,25,72,78 x 71,1992,539,
,Cine CN-E 2o-5o mm T2.4,,Y,,,,Cine Lens (FF),3300,manual,Y,60,114,? x 241,2022,21999,"full frame EF or PL mount cine lens (in fact, it's just the above 14-35/1.7 with an extender screwed into the back!)"
,EF 2o-35 mm f/2.8 L,21-34,Y,,,,,549,AF,Y,50,72,89 x 79,1989,1199,not the same as the FD: f/2.8 instead of f/3.5
,EF 2o-35 mm f/3.5-4.5 USM,T4.1-5.1,Y,,,,,"331, 333",USM,Y,34,77,84 x 69,1993,449,
,,,,,,,,,,,,,,,,
,EF 22-55 mm f/4-5.6 USM,,Y,,,,,175,USM,Y,35,58,66 x 59,1998,,shortest EF zoom (by zoom factor) ● Great value for money: very cheap and very decent
,EF 24 mm f/1.4 L II USM,25/1.45 T1.6,Y,,,,"Cine version available, see right",647,USM,Y,25,77,94 x 87,2008,1549,aka CN-E 24 mm T1.5 FP X and L F ● The Sigma Art Mk I is sharper
,EF 24 mm f/1.4 L USM,25/1.45,Y,,,,,550,USM,?,25,77,84 x 77,1997,1349,"whilst a functional copy of the lenses has demonstrated focus without being attached to a camera, I came across a ""spares"" listing on ebay detailling that neither AF nor MF worked, and Canon refused service due to discontinued spares!! the lack of MF might be due to a mechanical problem, i.e. not a USM problem, but beware! ● The Sigma Art Mk I is orders of magnitude sharper"
,EF 24 mm f/2.8,T3.4!,Y,,,,,270,AF,Y,25,58,67 x 48,1988,349,not the same as the FD: now 1o instead of 9 lenses
,EF 24 mm f/2.8 IS USM,25/2.9 T2.9,Y,,,,,270,USM,Y,20,58,68 x 56,2012,599,
,EF-S 24 mm f/2.8 STM,25/2.9,N,,,,,125,STM,N,16,52,68 x 23,2014,149,
,TS-E 24 mm f/3.5 L II,,Y,,,,Tilt/Shift,786,manual,Y,21,82,89 x 107,2009,1899,
,TS-E 24 mm f/3.5 L,,Y,,,,Tilt/Shift,570,manual,Y,30,72,86 x 78,1991,1349,
,EF 24-1o5 mm f/4 L IS USM II,T4.3-4.6,Y,,,,,789,USM,Y,45,77,84 x 118,2016,1099,
,EF 24-1o5 mm f/4 L IS USM,25-1o3/4.1 T5.2!,Y,,,,,665,USM,Y,45,77,84 x 107,2005,999,
,EF 24-1o5 mm f/3.5-5.6 IS STM,T3.8-6.3,Y,,,,,523,STM,N,40,77,83 x 104,2014,599,
,EF 24-85 mm f/3.5-4.5 USM,25-82 T4.3-5.4!,Y,,,,,360,USM,Y,50,67,73 x 69,1996,399,"f/3.5 only at 24-34 mm! f/4 by 35 mm, f/4.5 by 5o mm"
,EF 24-7o mm f/2.8 L II USM,25-68/2.91 T2.9-3.1,Y,,,,,805,USM,Y,38,82,89 x 113,2012,1899,cine mod with manual aperture available: newsshooter.com/2017/11/16/technical-farm-cine-modded-canon-lenses/
,EF 24-7o mm f/2.8 L USM,25-68/2.9 T3.5!,Y,,,,,910,USM,Y,38,77,83 x 124,2002,2099,
,EF 24-7o mm f/4 L IS USM,T4-4.1,Y,,,,,600,USM,Y,20,77,83 x 93,2012,1499,
,Cine CN1ox25 25-25o mm T2.95-3.95 Servo,,(Y),,,,Cine Lens,3060,manual,Y,120,114,282 x 187,2020,30999,"inbuilt 1.5x extender for 37.5-375 mm; FF coverage if and only if extender is engaged ● T2.95 only at 25-187 mm, with extender T4.4 37.5-281 mm"
,,,,,,,,,,,,,,,,
,EF 28 mm f/1.8 USM,T2.1,Y,,,,,310,USM,Y,25,58,74 x 56,1995,449,"lens can manually focus without power, as confirmed by owner: dpreview.com/forums/thread/4547784#forum-post-64760189 ● perhaps the most characterful bokeh of any EF lens - love or hate it ● about as sharp as the Sigma pre-Art 28/1.8, and visibly behind any Sigma Art"
,EF 28 mm f/2.8 IS USM,29/2.9 T2.8!,Y,,,,,257,USM,Y,23,58,68 x 52,2012,549,
,EF 28 mm f/2.8,,Y,,,,,185,AF,Y,30,52,67 x 43,1987,249,not the same as the FD: EF is a simpler 5/5 design; FD was 7/7!
,EF 28-3oo mm f/3.5-5.6 L IS USM,T4.3-6.9!!!,Y,,,,,1700,USM,Y,70,77,92 x 184,2004,2499,"167o g specified ● not very good throughout, and inferior to the 28-135 ● 28-39mm = f/3.5, 4o-59mm = f/4.o, 6o-69mm = f/4.5, 7o-1o9mm = f/5.o, 11o-3oomm = f/5.6"
,EF 28-2oo mm f/3.5-5.6 USM,,Y,,,,,505,USM,Y,45,72,78 x 90,2000,799,"whenever a USM and a non-USM version of a lens came out in the same year, they are optically identical ● very bad reviews, which are somewhat justified, but the 28-3oo L is not stellar, either"
,EF 28-2oo mm f/3.5-5.6,,Y,,,,,495,AF,Y,45,72,78 x 90,2000,,"wide-angle horrible outside image centre; 35mm is already f/4. gets better around 135mm ● overall not much worse than the 28-3oo L, but disappointing reviews throughout. many find the Nikon 28-2oo G visibly superior ● very compact"
,EF 28-135 mm f/3.5-5.6 IS USM,29-131/3.6-5.8 T4.3-6.6!!!,Y,,,,,537,USM,Y,50,72,78 x 97,1998,499,"ALL 28-… zooms measured start at 29 mm! ● strong CA ● ""generally considered a mid-range performer, with a good value to performance ratio that makes it popular as either a starter lens or an upgrade from lower quality lenses"" ● 28mm centre really great at f/8 and portrait focus distance, bokeh nice, but still massive CA. sharpness then decays with distance; almost irrelevant as a landscape lens, even if stopping further down. ● 35mm is significantly worse than 28mm; only f/3.5 at 35mm ● 135 mm acceptably sharp but hardly any micro detail; image edges nicer. bokeh still nice. close-ups irrelevant without any micro detail. ● compared to 24-1o5 4 I: same sharpness at wide angle, 28-135 lower sharpness at 1oomm"
,EF 28-1o5 mm f/3.5-4.5 USM II,29-1o1/3.6-4.7,Y,,,,,362,USM,Y,50,58,72 x 75,2000,539,"optically virtually identical to the 28-135, actually slightly better at 1o5mm. None of them have a lot of micro detail ● already at 35mm, f/4 is the fastest you get!"
,EF 28-1o5 mm f/3.5-4.5 USM,29-1o2/3.5-4.7 T4.1-5.2,Y,,,,,375,USM,Y,50,58,72 x 75,1992,570,not very good throughout
,EF 28-1o5 mm f/4-5.6 USM,,Y,,,,,210,USM,Y,48,58,67 x 68,2002,,
,EF 28-1o5 mm f/4-5.6,29-1o2/4-5.9,Y,,,,,210,AF,Y,48,58,67 x 68,2002,,
,EF 28-9o mm f/4-5.6 USM II,29-87/3.8-5.9,Y,,,,,190,USM,Y,38,58,67 x 71,2002,,
,EF 28-9o mm f/4-5.6 USM,,Y,,,,,190,USM,Y,38,58,67 x 71,2000,,"reviewer: ""Image quality suffers particularly between 28–35mm and 80–90mm*, and there is heavy vignetting when used wide open"" *in other words, what's left would be better covered by a 5o/1.8 prime! ● AF performance significantly better than optical performance…"
,EF 28-9o mm f/4-5.6 III,,Y,,,,,190,AF,Y,38,58,67 x 71,2004,,
,EF 28-9o mm f/4-5.6 II,,Y,,,,,180,AF,Y,38,58,67 x 71,2003,,
,EF 28-9o mm f/4-5.6,,Y,,,,,180,AF,Y,38,58,67 x 71,2000,,
,EF 28-8o mm f/2.8-4 L USM,,Y,,,,,945,USM,N,50,72,84 x 120,1988,,"f/3.2 by 35 mm, f/3.5 by 4o mm, f/4 by 6o mm"
,EF 28-8o mm f/3.5-5.6 USM V,,Y,,,,,200,USM,Y,38,58,66 x 71,1999,,II through V versions have plastic lens mounts ● only the original USM version supports full-time manual focusing; USM versions II through V do not.
,EF 28-8o mm f/3.5-5.6 USM IV,,Y,,,,,200,USM,Y,38,58,66 x 71,1996,,
,EF 28-8o mm f/3.5-5.6 USM III,,Y,,,,,205,USM,Y,38,58,65 x 64,1995,,
,EF 28-8o mm f/3.5-5.6 USM II,29-77/3.46-5.88,Y,,,,,200,USM,Y,38,58,64 x 69,1993,,
,EF 28-8o mm f/3.5-5.6 USM,,Y,,,,,321,USM,Y,50,58,72 x 78,1991,450,only this USM version supports full-time manual focusing; the following versions II through V do not
,EF 28-8o mm f/3.5-5.6 II,29-77/3.46-5.88,Y,,,,,200,AF,Y,38,58,66 x 71,1999,,
,EF 28-8o mm f/3.5-5.6 I,,Y,,,,,200,AF,Y,38,58,66 x 71,1996,,
,EF 28-7o mm f/2.8 L USM,T3.3-3.4,Y,,,,,862,USM,Y,50,77,84 x 118,1993,1299,
,EF 28-7o mm f/3.5-4.5 II,,Y,,,,,285,AF,Y,39,52,70 x 77,1988,,
,EF 28-7o mm f/3.5-4.5,,Y,,,,,300,AF,Y,39,52,70 x 75,1987,357,
,Cine CN-E 3o-3oo mm T2.95–3.7 L S,,N,,,,Cine Lens (APS only),5800,manual,Y,150,,,,44650,
,Cine CN-E 3o-1o5 mm T2.8 L S,,N,,,,Cine Lens (APS only),2200,manual,Y,60,,,,9999,
,Cine CN-E 31.5-95mm T1.7 L S / SP,,N,,,,Cine Lens (APS only),3500,manual,Y,100,114,? x 246,2023,22000,
,,,,,,,,,,,,,,,,
,EF 35 mm f/1.4 L II USM,T1.7,Y,,,,"Cine version available, see right",760,USM,Y,28,72,80 x 106,2015,1799,aka CN-E 35 mm T1.5 FP X and L F ● on par with the Sigma Art Mk I
,EF 35 mm f/1.4 L USM,34/1.45 T1.7,Y,,,,,582,USM,Y,30,72,79 x 86,1998,1399,
,EF 35 mm f/2 IS USM,T2,Y,,,,,336,USM,Y,24,67,78 x 63,2012,849,
,EF 35 mm f/2,35.5/2 T2.3,Y,,,,,192,AF,Y,25,52,67 x 42,1990,299,not the same as the FD: EF is a simpler 5/7 design; nFD was 1o/8!
,EF-S 35 mm f/2.8 Macro IS STM (1:1),36/2.9,N,,,,,190,STM,N,13,49,69 x 56,2017,349,
,EF 35-35o mm f/3.5-5.6 L USM,36.2-342/3.6-5.7,Y,,,,,1385,USM,Y,60,72,85 x 167,1993,1799,"not very good throughout ● test of 7o-3oo DO, 35-35o, 3oo/4 and some Nikons: marcocavina.com/articoli_fotografici/TEST_300mm_fissi_vs_zoom/00_pag.htm"
,EF 35-135 mm f/3.5-4.5,36-132/3.7-4.7,Y,,,,,475,AF,Y,95,58,73 x 95,1988,,"centre sharpness accetable, but overall flat look and very modest corner sharpness ● not better than the 28-135"
,EF 35-135 mm f/4-5.6 USM,36-132,Y,,,,,425,USM,Y,75,58,72 x 87,1990,460,"centre sharpness accetable, but overall flat look and very modest corner sharpness ● not better than the 28-135"
,EF 35-1o5 mm f/3.5-4.5,,Y,,,,same as FD,400,AF,Y,85,58,72 x 82,1987,356,"still one of THE BEST light allround lenses for EF! astonishing sharpness, easily on prime lens level. surpassed only by the 8o-2oo L, and only marginally so! ● great for portraiture wide open at 1o5 mm ● same optical design as the FD 35-1o5 ● all glass elements, no plastic ● push zoom ● a reviewer: ""I long doubted whether to take it or the 28-1o5, but after an opportunity to compare both lenses, the choice was very fast, from the first pictures it became clear."" I would concur, having tried one briefly and immediately starting to dream up excuses to own one"
,EF 35-1o5 mm f/4.5-5.6 USM,,Y,,,,,280,AF,Y,85,58,68 x 63,1992,360,
,EF 35-1o5 mm f/4.5-5.6,,Y,,,,,280,AF,Y,85,58,71 x 63,1991,288,
,EF 35-8o mm f/4-5.6 USM,,Y,,,,,170,AF,Y,38,52,65 x 61,1992,187,
,EF 35-8o mm f/4-5.6 III,36-77/4-5.7,Y,,,,,159,AF,Y,40,52,65 x 64,1995,,"175 g specified ● optically dismal, strong SA, little detail/sharpness"
,EF 35-8o mm f/4-5.6 II,,Y,,,,,170,AF,Y,38,52,65 x 61,1993,,
,EF 35-8o mm f/4-5.6,,Y,,,,,180,AF,Y,37,52,69 x 61,1990,129,
,EF 35-8o mm f/4-5.6 Power Zoom,,Y,,,,Motorised Zoom,205,AF,N: no MF ring,50,52,68 x 72,1990,260,
,EF 35-7o mm f/3.5-4.5 A,,Y,,,,same as FD,230,AF,N: no MF ring,39,52,69 x 63,1988,,optically identical to the non-A
,EF 35-7o mm f/3.5-4.5,,Y,,,,same as FD,231,AF,Y,39,52,70 x 63,1987,253,"245 g specified ● same optics as nFD, but now only 5 instead of 8 aperture petals"
,EF 38-76 mm f/4.5-5.6,,Y,,,,,155,AF,Y,58,52,65 x 64,1995,,lightest EF lens ● nice bokeh ● better than the 35-8os
,EF 4o mm f/2.8 STM,39/2.8 T2.9,Y,,,,pancake lens,125,STM,N,3o,52,68 x 22,2012,199,shortest EF lens
,TS-E 45 mm f/2.8,,Y,,,,Tilt/Shift,615,manual,Y,40,72,90 x 81,1991,1349,
,Cine CN 45-135 mm T2.4,,Y,,,,Cine Lens (FF),3400,manual,Y,100,114,? x 246,2022,22000,"full frame EF or PL mount cine lens (in fact, it's just the above 31.9-95 with an extender screwed into the back!)"
,,,,,,,,,,,,,,,,
,EF 5o mm f/1 L USM,51.99/1.oo,Y,,,,,1018,USM,N,60,72,92 x 82,1989,2599,"985 g specified ● quietly discontinued, reportedly in 2oo2 and due to high manufacturing costs ● MSRP was 3587oo Y in 1989, when 1 USD was 145 JPY, so MSRP would have equalled 2475 USD. Last MSRP was 38oo USD! Used prices have come down drastically in 2o25; MPB offered one in need of a deep clean for 16oo €!"
,EF 5o mm f/1.2 L USM,T1.5!!,Y,,,,"Cine version available, see right",592,USM,Y,45,72,86 x 66,2006,1599,"same 8/6 design with 8 petals than nFD L, but slightly different layout ● aka CN-E 5o mm T1.3 FP X and L F ● 545 g specified ● visibly inferior to the 85/1.2, and even slightly inferior to the FD 5o/1.2 L!"
,EF 5o mm f/1.4 USM,52.69/1.4 T1.6,Y,,,,,268,USM,Y,45,58,74 x 51,1993,349,"same 7/6 design with 8 petals than nFD L, but slightly different layout ● Micro USM, reported to be slower than the ring USM in 85/1.8 and 1oo/2, and MF prone to mechanical issues (loss of smoothness) ● there never was a second version!"
,EF 5o mm f/1.8 STM,T1.9,Y,,,,,159,STM,N,39,49,69 x 39,2015,129,
,EF 5o mm f/1.8 II,T2.1,Y,,,,,123,AF,Y,45,52,68 x 41,1990,99,lightest EF lens
,EF 5o mm f/1.8,51.57/1.85,Y,,,,,186,AF,Y,45,52,67 x 42,1987,149,body and 5-blade aperture identical with EF 28 mm f/2.8 and EF 35 mm f/2
,EF 5o mm f/2.5 Macro (1:2),,Y,,,,,270,AF,Y,23,58,68 x 53,1993,329,technically not a real macro at only 1:2 magnification
,TS-E 5o mm f/2.8 L Macro (1:2),,Y,,,,Tilt/Shift,925,manual,Y,27,77,87 x 115,2017,2199,
,Cine CN2ox5o 5o-1ooo mm T5-8.9 Servo,,N,,,,Cine Lens (APS only),6600,manual,Y,350,136,175 x 413,2014,70200,"inbuilt 1.5x extender for 75-15oo mm ● T5 only at 5o-56o mm, T8.9 at 1ooo mm; with extender: T7.5 75-84o mm, T13.35 at 15oo mm"
,EF 5o-2oo mm f/3.5-4.5 L,,Y,,,,,695,AF,?,120,58,76 x 146,1988,,"UD and flourite lenses ● the least worst of the 5o-2oomm solutions out there, but still visibly inferior to any Canon 7o-2oo/7o-21o/8o-2oo EF and FD!"
,EF 5o-2oo mm f/3.5-4.5,,Y,,,,,690,AF,Y,120,58,76 x 146,1987,,not very good throughout
,EF 55-2oo mm f/4.5-5.6 USM II,T5.2-6.5,Y,,,,,310,USM,Y,120,52,70 x 97,2003,,
,EF 55-2oo mm f/4.5-5.6 USM,57-193/4.7-5.9,Y,,,,,300,USM,Y,120,52,70 x 97,1998,179,
,EF-S 55-25o mm f/4-5.6 IS,57-241/4.2-5.9,N,,,,,390,AF,Y,,58,70 x 108,2007,349,not very good throughout
,EF-S 55-25o mm f/4-5.6 IS II,,N,,,,,390,AF,Y,,58,70 x 108,2011,349,"f/4 only at 55-73 mm, f/4.5 74-95 mm, f/5 96-153 mm, f/5.6 154-25o mm"
,EF-S 55-25o mm f/4-5.6 IS STM,57-241/4.2-5.9,N,,,,,375,STM,N,,58,70 x 111,2013,349,
,,,,,,,,,,,,,,,,
,EF-S 6o mm f/2.8 Macro USM,,N,,,,,335,USM,Y,,52,73 x 70,2005,469,
,MP-E 65 mm f/2.5 Macro (1:1-5:1),,Y,,,,1:1-5:1 only,710,manual,Y,24,58,81 x 98,1999,1099,No infinity focus: 1:1 life size to 5:1 super macro only
,EF 7o-3oo mm f/4-5.6 L IS USM,72-29o/4.2-5.9 T4.6-6.4,Y,,4th,,,1061,USM,Y,120,67,89 x 143,2010,1349,"f/4 only 7o-1o3 mm, f/4.5 1o4-154 mm, f/5 155-228 mm, f/5.6 229-3oo mm ● regarded my many as the worst L zoom ● or to spin it: the best zoom that reaches up to 3oomm ● both 1oo-4oos are better"
,EF 7o-3oo mm f/4-5.6 IS II USM,72-29o/4.2-5.8,Y,,4th,,,703-8,USM,Y,120,67,79 x 145,2016,549,"f/4 only 7o-76 mm!, f/4.5 77-1o5 mm, f/5 1o6-175 mm, f/5.6 176-3oo mm"
,EF 7o-3oo mm f/4-5.6 IS USM,,Y,,3rd,,,630,USM,Y,150,58,77 x 143,2005,649,
,EF 7o-3oo mm f/4.5-5.6 DO IS USM,T5.3-6.8,Y,,3rd,,,713,USM,Y,140,58,82 x 100,2004,1299,"test of 7o-3oo DO, 35-35o, 3oo/4 and some Nikons: marcocavina.com/articoli_fotografici/TEST_300mm_fissi_vs_zoom/00_pag.htm"
,EF 7o-21o mm f/3.5-4.5 USM,,Y,,,,,550,USM,?,120,58,76 x 122,1990,510,"bokeh nice, sharpness not"
,EF 7o-21o mm f/4,,Y,,,,,578,AF,Y,120,58,76 x 138,1987,,not the same as FD: EF is a simpler 8/11 design; FD was 9/12; both have 8 petals ● 61o g specified
,EF 7o-2oo mm f/2.8 L IS III USM,,Y,,"3rd, 3.5 EV",,,1430,USM,Y,120,77,89 x 199,2018,2099,"148o g specified ● cine mod with manual aperture available: newsshooter.com/2017/11/16/technical-farm-cine-modded-canon-lenses ● unsurprisingly the sharpest EF 7o-2oo/2.8, but unless you ""need"" f/2.8, have the f/4 II"
,EF 7o-2oo mm f/2.8 L IS II USM,72-194/2.9 T3.3 (exactly the same for the RF),Y,,"3rd, 3.5 EV",,,1485,USM,Y,120,77,89 x 199,2010,1999,
,EF 7o-2oo mm f/2.8 L IS USM,72-194/2.9 T3.5,Y,,"2nd, 3 EV",,,1471,USM,Y,140,77,86 x 197,2001,1699,157o g specified
,EF 7o-2oo mm f/2.8 L USM,72-194/2.9 T3.4,Y,,,,,1253,USM,?,150,77,85 x 194,1995,1349,131o g specified
,EF 7o-2oo mm f/4 L IS II USM,72-194/4.1,Y,,"4th, 5 EV",,"Cine version available, see right",782,USM,Y,100,72,80 x 176,2018,1299,"aka CN-E 7o-2oo mm T4.4 L IS KAS S ● THE sharpest choice in the whole focal length range (that said, 2.8 IS III is virtually on par and a stop faster)"
,EF 7o-2oo mm f/4 L IS USM,72-194/4.1 T4.6,Y,,"3rd, 4 EV",,,756,USM,Y,120,67,76 x 172,2006,1249,
,EF 7o-2oo mm f/4 L USM,72-195/4.1,Y,,,,,711,USM,?,120,67,76 x 172,1999,799,"considered sharper than IS1, but less sharp than IS2"
,EF 75-3oo mm f/4-5.6 IS USM,T4.7-6.7,Y,,"1st, 2 EV",,,630,USM,?,150,58,78 x 138,1995,479,historically first IS lens
,EF 75-3oo mm f/4-5.6 III USM,T4.6-6.5,Y,,,,,480,USM,?,150,58,71 x 122,1999,,"f/4 only at 75-94 mm, f/4.5 95-139 mm, f/5 14o-239 mm, f/5.6 24o-3oo mm"
,EF 75-3oo mm f/4-5.6 III,,Y,,,,,470,AF,Y,150,58,71 x 122,1999,,"f/4 only at 75-134 mm, f/4.5 135-139 mm, f/5 14o-239 mm, f/5.6 24o-3oo mm ● please abstain"
,EF 75-3oo mm f/4-5.6 II USM,,Y,,,,,480,USM,?,150,58,71 x 122,1995,,
,EF 75-3oo mm f/4-5.6 II,,Y,,,,,480,AF,Y,150,58,71 x 122,1995,,
,EF 75-3oo mm f/4-5.6 USM,,Y,,,,,495,USM,?,150,58,71 x 122,1992,390,
,EF 75-3oo mm f/4-5.6,,Y,,,,,500,AF,Y,150,58,74 x 122,1991,325,
,,,,,,,,,,,,,,,,
,EF 8o-2oo mm f/2.8 L,,Y,,,,,1276,AF,Y,180,72,84 x 186,1989,1299,133o g specified ● no USM ● no more spare parts from Canon! ● optically tested to be on par in sharpness with the later offerings ● lovely bokeh
,EF 8o-2oo mm f/4.5-5.6 II,,Y,,,,,242,AF,Y,150,52,69 x 79,1995,,"lightest EF lens in this focal length range ● decent, but of course moderate performance - but only relevant for autofocus use due to minuscule focus wheel"
,EF 8o-2oo mm f/4.5-5.6 USM,,Y,,,,,260,USM,Y,150,52,69 x 79,1992,380,
,EF 8o-2oo mm f/4.5-5.6,,Y,,,,,275,AF,Y,150,52,71 x 78,1990,300,
,EF 85 mm f/1.2 L II USM,T1.5,Y,,,,"Cine version available, see right",971,USM,N,95,72,91 x 84,2006,1999,"aka CN-E 85 mm T1.3 FP X and L F ● WORSE sharpness than the old designs - go figure, with 3o+ years of time and computing power; see middle of photo.imx.nl//optics/optics/page61.html ● 1o25 g specified ● focus by wire! in 2oo6!! Thus DEAD if the AF motor dies, see footnotes"
